problem,nx,nt,ny,n_iterations,num_domain,seed,pinn_time,fdm_time,residual_estimation_time,stability_flag,pinn_error_l2,pinn_error_relative_l2,e_res_vs_true_l2,e_res_vs_true_relative_l2,e_fdm_vs_true_l2,e_fdm_vs_true_relative_l2,prob_x_min,prob_x_max,prob_t_max,prob_diffusivity,prob_frequency,prob_velocity_x,prob_phase_shift,prob_propagation_speed,prob_initital_concentration,prob_y_min,prob_y_max
poisson_1d,128,32,16,10000,1,0,6.092587947845459,0.0000400543212890625,0.0005970001220703125,false,0.10779641530393427,0.15304616129867016,9.251135603213632e-6,0.0000858204382504729,0.00003591751011898671,0.00033319763015974603,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
heat,128,128,16,10000,100,4,8.9389328956604,0.00398707389831543,0.07232785224914551,false,0.00030163472704144496,0.0008556901016258165,3.925631444142724e-6,0.013014520849922018,0.00003992627534176886,0.13236630852610584,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
drift_diffusion,256,256,16,0,1,5,0.002165079116821289,0.013029098510742188,0.2283170223236084,false,0.8560901915172072,2.4242536435139526,0.0003111963378156724,0.0003635088229011877,0.00023700549940490983,0.00027684641379300987,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
poisson_2d,256,32,256,0,10000,0,0.007238864898681641,0.14034104347229004,0.17448902130126953,false,0.4940067326025895,0.9918880278138263,6.269645110606382e-6,0.000012691416324582935,6.299580846651019e-6,0.000012752014154671051,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
poisson_1d,128,32,16,10000,10000,7,82.76921677589417,0.00003695487976074219,0.0006561279296875,false,2.738533841766228e-6,3.888089329196128e-6,3.675883622394084e-8,0.013422816129557416,0.00003591751011898671,13.115598416161992,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
wave,256,256,16,0,10000,5,0.007911920547485352,0.0010349750518798828,0.21025991439819336,false,0.8672555386307077,1.734524310682187,0.000031204858436319026,0.00003598115785525884,0.000015783443300198566,0.000018199299511097645,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
heat,256,256,16,0,100,1,0.0015609264373779297,0.0125579833984375,0.16658306121826172,false,0.439357638052887,1.2465208835303967,0.000012592781161399806,0.000028661800935583066,9.934186103617024e-6,0.000022610705364410234,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
drift_diffusion,8,8,16,10000,10,6,11.220563888549805,0.00014019012451171875,0.0043370723724365234,true,0.6844007243031095,1.8402420724831912,0.668627027174803,0.9769525417373452,0.26151842143576154,0.3821130109148444,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
poisson_1d,32,32,16,10000,10000,9,84.43089294433594,0.000026226043701171875,0.0004551410675048828,false,0.000020506024796515542,0.00002946392621557367,8.608357823692361e-7,0.041979651878276986,0.000595948894502332,29.06213663609202,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
poisson_1d,32,32,16,10000,10,1,6.621852159500122,0.000024080276489257812,0.0003459453582763672,false,0.00021020709279919486,0.0003020344671229575,0.00001683442887726627,0.08008497074520571,0.000595948894502332,2.8350560704977847,0.0,1.0,1.0,0.05,2.0,2.0,0.0,0.5,1.0,0.0,1.0
